epoch,leftear,loss,lr,rightear,snout,tailbase,val_leftear,val_loss,val_rightear,val_snout,val_tailbase
0,0.0080425925552845,0.007565607316792011,1e-04,0.007314372342079878,0.00739671615883708,0.007508766837418079,0.005573734641075134,0.004407865926623344,0.00457290094345808,0.0039016460068523884,0.003583181882277131
1,0.005257109645754099,0.0038347062654793262,1e-04,0.004548246506601572,0.0026142660062760115,0.00291920336894691,0.00558508513495326,0.0034920324105769396,0.0034647926222532988,0.0027632208075374365,0.0021550306119024754
2,0.004621356725692749,0.002968426328152418,1e-04,0.004051122814416885,0.0015553486300632358,0.0016458784230053425,0.0041081588715314865,0.0024024047888815403,0.0027471561916172504,0.0016351899830624461,0.0011191130615770817
3,0.0042201802134513855,0.0025560581125319004,1e-04,0.003681647591292858,0.0012895140098407865,0.0010328914504498243,0.0034411814995110035,0.002054839860647917,0.00224170065484941,0.00164123740978539,0.0008952388889156282
4,0.0034836893901228905,0.0020911770407110453,1e-04,0.003026785561814904,0.0009805159643292427,0.0008737177704460919,0.0024473273660987616,0.0016642368864268064,0.0020683505572378635,0.0014066965086385608,0.0007345729973167181
5,0.0029155262745916843,0.0017371783033013344,1e-04,0.0023480469826608896,0.0009562999475747347,0.0007288404740393162,0.0026358370669186115,0.001743271597661078,0.0020101505797356367,0.001435518846847117,0.0008915797807276249
6,0.0021912476513534784,0.001403066678903997,1e-04,0.001983087044209242,0.000810550875030458,0.0006273809703998268,0.0014493343187496066,0.001047618337906897,0.001028738683089614,0.0008895841310732067,0.0008228163351304829
7,0.0013449740363284945,0.0009486856870353222,1e-04,0.0013055019080638885,0.0006710231536999345,0.00047324481420218945,0.001146232825703919,0.0009127402445301414,0.0009359747637063265,0.0009180515771731734,0.0006507016369141638
8,0.0012135779252275825,0.000834146689157933,1e-04,0.001146939117461443,0.0005825514090247452,0.0003935184795409441,0.0006313601043075323,0.0007190644973888993,0.0008186876075342298,0.0007326871273107827,0.0006935229757800698
9,0.0008002633112482727,0.0006207054248079658,1e-04,0.0008716611773706973,0.0004687268810812384,0.0003421705914661288,0.0007177564548328519,0.0007039845222607255,0.0007367479265667498,0.0008291069534607232,0.000532326870597899
10,0.0006772834458388388,0.0005352303851395845,1e-04,0.0007174090715125203,0.00044383329804986715,0.0003023963363375515,0.0006923306500539184,0.0006300680106505752,0.0005897851078771055,0.0006819996051490307,0.0005561566795222461
11,0.0005995418759994209,0.0004715991672128439,1e-04,0.0006243103416636586,0.0004186498117633164,0.00024389574537053704,0.000593515404034406,0.0006683721439912915,0.0007968263817019761,0.0007785472553223372,0.0005045996513217688
12,0.0005320955533534288,0.00043440458830446005,1e-04,0.0005957817193120718,0.0003762544656638056,0.00023348652757704258,0.0006364830769598484,0.0005889778258278966,0.0005541744758374989,0.0006352728232741356,0.0005299807526171207
13,0.00039782701060175896,0.0003538201272021979,1e-04,0.0004585007263813168,0.00034159154165536165,0.00021736178314313293,0.0010306501062586904,0.0008062743581831455,0.001103734946809709,0.000687192368786782,0.000403520098188892
14,0.00048715542652644217,0.0004065207904204726,1e-04,0.0005261655314825475,0.00037230888847261667,0.0002404531551292166,0.0006713143084198236,0.0006280398229137063,0.0006804634467698634,0.00075030408333987,0.0004100772785022855
15,0.00036260345950722694,0.0003278603544458747,1e-04,0.00040537776658311486,0.00034339152625761926,0.00020006885461043566,0.0005081722047179937,0.0004812666738871485,0.0005168832140043378,0.0005024349666200578,0.00039757616468705237
16,0.0002162913588108495,0.0002171744272345677,1e-04,0.0002738444600254297,0.0002330342831555754,0.00014552765060216188,0.000491154904011637,0.0005655984859913588,0.0006403388688340783,0.0007386651122942567,0.00039223500061780214
17,0.00024649716215208173,0.0002407766442047432,1e-04,0.00029248083592392504,0.00028131535509601235,0.0001428134273737669,0.0005417074426077306,0.0005935035878792405,0.0006494876579381526,0.0008649870287626982,0.0003178320184815675
18,0.00023069241433404386,0.000217030945350416,1e-04,0.00026476202765479684,0.00022779045684728771,0.00014487886801362038,0.000450974446721375,0.0005042357370257378,0.0006176924798637629,0.000586983107496053,0.00036129317595623434
19,0.00024515355471521616,0.00022173477918840945,1e-04,0.00027036474784836173,0.0002406009443802759,0.00013082000077702105,0.0005565308965742588,0.0005429580924101174,0.0006994040450081229,0.0006249332800507545,0.00029096397338435054
20,0.00027389926253817976,0.000259693362750113,1e-04,0.0003238579665776342,0.0002741365460678935,0.0001668799523031339,0.0006283221882767975,0.0005654875421896577,0.0007833677809685469,0.000548742595128715,0.0003015174006577581
21,0.00016660428082104772,0.00016279098053928465,5e-05,0.00020647743076551706,0.00018075533444061875,9.732681064633653e-05,0.0007060909410938621,0.0005941041745245457,0.0008235939894802868,0.0005600547301582992,0.00028667712467722595
