epoch,loss,lr,val_loss
0,0.0005797751364298165,1e-04,0.00047187707968987525
1,0.00027409184258431196,1e-04,0.00032601444399915636
2,0.00020035708439536393,1e-04,0.00031065495568327606
3,0.00017140019917860627,1e-04,0.00024762999964877963
4,0.00014877383364364505,1e-04,0.00024666552781127393
5,0.00013196602230891585,1e-04,0.00021801228285767138
6,0.0001131859899032861,1e-04,0.00019381883612368256
7,9.995553409680724e-05,1e-04,0.00017111664055846632
8,8.473373600281775e-05,1e-04,0.00020816773758269846
9,8.054643694777042e-05,1e-04,0.00020081114780623466
10,8.002165122888982e-05,1e-04,0.00017112123896367848
11,6.482520257122815e-05,1e-04,0.0001668786135269329
12,5.340970164979808e-05,1e-04,0.00013332872185856104
13,5.478087405208498e-05,1e-04,0.0001325513730989769
14,4.632132186088711e-05,1e-04,0.00011155872198287398
15,4.51003470516298e-05,1e-04,0.00014915375504642725
16,3.979030225309543e-05,1e-04,0.0001516351621830836
17,4.074308890267275e-05,1e-04,9.614582813810557e-05
18,3.8758971641073003e-05,1e-04,0.000132643137476407
19,3.505680797388777e-05,1e-04,9.70955443335697e-05
20,3.279252632637508e-05,1e-04,0.00011368526611477137
21,3.621667929110117e-05,1e-04,0.0001086984557332471
22,3.107395241386257e-05,1e-04,0.00011088332394137979
23,2.154647336283233e-05,5e-05,9.423865412827581e-05
24,2.0100504116271622e-05,5e-05,8.133336086757481e-05
25,1.9706010789377615e-05,5e-05,9.662337106419727e-05
26,1.89098936971277e-05,5e-05,8.148538472596556e-05
27,1.6940884961513802e-05,5e-05,9.197006875183433e-05
28,1.694108323135879e-05,5e-05,8.64071334945038e-05
29,1.6757745470386e-05,5e-05,9.75670845946297e-05
30,1.501656061009271e-05,2.5e-05,8.161229925462976e-05
31,1.571303073433228e-05,2.5e-05,9.349145693704486e-05
32,1.2384214642224833e-05,2.5e-05,9.61163459578529e-05
33,1.3462296919897199e-05,2.5e-05,8.299033652292565e-05
34,1.2747119399136864e-05,2.5e-05,8.761346543906257e-05
35,1.2594947293109726e-05,2.5e-05,9.175311424769461e-05
36,1.3501848115993198e-05,2.5e-05,9.292265167459846e-05
37,1.2145619621151127e-05,1.25e-05,8.485659782309085e-05
38,1.1312052265566308e-05,1.25e-05,9.320073149865493e-05
39,1.0341423148929607e-05,1.25e-05,7.565769192297012e-05
40,1.126239567383891e-05,1.25e-05,8.797270857030526e-05
41,1.0875032785406802e-05,1.25e-05,7.782772445352748e-05
42,1.1986118806817103e-05,1.25e-05,7.889976404840127e-05
43,1.2587919627549127e-05,1.25e-05,8.456217619823292e-05
44,1.0078781997435726e-05,1.25e-05,8.503525168634951e-05
45,1.0473541806277353e-05,6.25e-06,7.442919013556093e-05
46,1.1342212928866502e-05,6.25e-06,7.911784632597119e-05
47,1.086729116650531e-05,6.25e-06,7.505287794629112e-05
48,1.0198878953815438e-05,6.25e-06,7.78002868173644e-05
49,1.0714223208196927e-05,6.25e-06,8.65518013597466e-05
50,1.034450269798981e-05,6.25e-06,9.546211367705837e-05
51,1.0813253538799472e-05,6.25e-06,7.515199104091153e-05
52,1.0211769222223666e-05,3.125e-06,8.801858348306268e-05
53,9.768018571776338e-06,3.125e-06,7.58714450057596e-05
54,9.988325473386794e-06,3.125e-06,7.94877705629915e-05
55,1.0852963896468282e-05,3.125e-06,6.62106103845872e-05
56,1.0116613339050673e-05,3.125e-06,7.764112524455413e-05
57,1.027399230224546e-05,3.125e-06,7.753349927952513e-05
58,9.6956673587556e-06,3.125e-06,9.703343675937504e-05
59,1.016586429614108e-05,3.125e-06,8.345107198692858e-05
60,1.0150730304303579e-05,3.125e-06,8.417687786277384e-05
61,8.893537597032264e-06,1.5625e-06,7.613375782966614e-05
62,8.813064596324693e-06,1.5625e-06,8.370438445126638e-05
63,1.1001245184161235e-05,1.5625e-06,8.743452781345695e-05
64,1.0731198017310817e-05,1.5625e-06,8.45748363644816e-05
65,8.738432370591909e-06,1.5625e-06,8.149980567395687e-05
66,9.498721738054883e-06,1.5625e-06,8.297633030451834e-05
67,1.025992060021963e-05,1.5625e-06,8.606063056504354e-05
68,9.56447001954075e-06,7.8125e-07,7.816833385732025e-05
69,8.888491720426828e-06,7.8125e-07,9.001954458653927e-05
70,9.22332674235804e-06,7.8125e-07,7.554676267318428e-05
71,9.161377420241479e-06,7.8125e-07,8.230727689806372e-05
72,9.644354577176273e-06,7.8125e-07,8.031112520257011e-05
73,9.414549822395202e-06,7.8125e-07,8.55352554935962e-05
74,9.14349038794171e-06,7.8125e-07,8.488754974678159e-05
75,9.871114343695808e-06,3.90625e-07,8.396065823035315e-05
